Name,League,Team,Stat,Versus,Prizepicks,Odds Type
Jo Adell,MLB,LAA,Hits+Runs+RBIs,CWS,1.5,standard
Yandy Díaz,MLB,TB,Hitter Fantasy Score,COL,6.0,standard
Jasson Domínguez,MLB,NYY,Home Runs,MIL,0.5,demon
Jonathan Cannon,MLB,CWS,Pitcher Strikeouts,LAA,5.5,demon
Jonathan Cannon,MLB,CWS,Hits Allowed,LAA,6.5,demon
Luis Robert,MLB,CWS,Hits+Runs+RBIs,LAA,1.5,standard
Jonathan Cannon,MLB,CWS,Pitcher Strikeouts,LAA,6.5,demon
José Soriano,MLB,LAA,Walks Allowed,CWS,1.5,goblin
José Soriano,MLB,LAA,Hits Allowed,CWS,5.5,demon
José Soriano,MLB,LAA,Earned Runs Allowed,CWS,2.5,demon
Jonathan Cannon,MLB,CWS,Hits Allowed,LAA,3.5,goblin
José Soriano,MLB,LAA,Pitcher Strikeouts,CWS,7.5,demon
Jonathan Cannon,MLB,CWS,Earned Runs Allowed,LAA,1.5,goblin
José Soriano,MLB,LAA,Walks Allowed,CWS,2.5,demon
Jonathan Cannon,MLB,CWS,Hits Allowed,LAA,5.5,demon
José Soriano,MLB,LAA,Hits Allowed,CWS,6.5,demon
José Soriano,MLB,LAA,Hits Allowed,CWS,3.5,goblin
Jonathan Cannon,MLB,CWS,Pitcher Strikeouts,LAA,3.5,goblin
José Soriano,MLB,LAA,Pitcher Strikeouts,CWS,6.5,demon
José Soriano,MLB,LAA,Pitcher Strikeouts,CWS,3.5,goblin
Byron Buxton,MLB,MIN,Stolen Bases,STL,0.5,demon
Ezequiel Tovar,MLB,COL,Hitter Fantasy Score,TB,6.5,standard
Jazz Chisholm Jr.,MLB,NYY,Home Runs,MIL,0.5,demon
Yoán Moncada,MLB,LAA,Hits+Runs+RBIs,CWS,1.5,standard
Lars Nootbaar,MLB,STL,Stolen Bases,MIN,0.5,demon
Junior Caminero,MLB,TB,Hitter Fantasy Score,COL,5.5,standard
Masyn Winn,MLB,STL,Stolen Bases,MIN,0.5,demon
José Ramírez,MLB,CLE,Hitter Fantasy Score,KC,7.5,standard
Mike Trout,MLB,LAA,Runs,CWS,0.5,standard
Mike Trout,MLB,LAA,Walks,CWS,0.5,standard
Victor Scott II,MLB,STL,Stolen Bases,MIN,0.5,demon
Bobby Witt Jr.,MLB,KC,Hitter Fantasy Score,CLE,8.5,standard
Paul Goldschmidt,MLB,NYY,Home Runs,MIL,0.5,demon
Willi Castro,MLB,MIN,Stolen Bases,STL,0.5,demon
Steven Kwan,MLB,CLE,Hitter Fantasy Score,KC,6.5,standard
Rhys Hoskins,MLB,MIL,Home Runs,NYY,0.5,demon
Taylor Ward,MLB,LAA,Runs,CWS,0.5,standard
Andrés Giménez,MLB,TOR,Stolen Bases,BAL,0.5,demon
Rafael Devers,MLB,BOS,Hitter Fantasy Score,TEX,7.0,standard
William Contreras,MLB,MIL,Home Runs,NYY,0.5,demon
Cedric Mullins,MLB,BAL,Stolen Bases,TOR,0.5,demon
Corey Seager,MLB,TEX,Hitter Fantasy Score,BOS,6.5,standard
Andrew Benintendi,MLB,CWS,Home Runs,LAA,0.5,demon
Ernie Clement,MLB,TOR,Stolen Bases,BAL,0.5,demon
Alex Bregman,MLB,BOS,Hitter Fantasy Score,TEX,6.5,standard
Andrew Vaughn,MLB,CWS,Home Runs,LAA,0.5,demon
George Springer,MLB,TOR,Stolen Bases,BAL,0.5,demon
Marcus Semien,MLB,TEX,Hitter Fantasy Score,BOS,6.5,standard
Jo Adell,MLB,LAA,Home Runs,CWS,0.5,demon
Jackson Holliday,MLB,BAL,Stolen Bases,TOR,0.5,demon
Jarren Duran,MLB,BOS,Hitter Fantasy Score,TEX,8.5,standard
Jorge Soler,MLB,LAA,Home Runs,CWS,0.5,demon
Brendan Donovan,MLB,STL,Walks,MIN,0.5,demon
Lars Nootbaar,MLB,STL,Hits,MIN,1.5,demon
Willson Contreras,MLB,STL,Hits,MIN,1.5,demon
Byron Buxton,MLB,MIN,Runs,STL,1.5,demon
Willson Contreras,MLB,STL,Doubles,MIN,0.5,demon
Brendan Donovan,MLB,STL,Total Bases,MIN,1.5,demon
Victor Scott II,MLB,STL,Walks,MIN,0.5,demon
Byron Buxton,MLB,MIN,Total Bases,STL,3.5,demon
Byron Buxton,MLB,MIN,Hits,STL,1.5,demon
Victor Scott II,MLB,STL,Runs,MIN,0.5,demon
Brendan Donovan,MLB,STL,RBIs,MIN,1.5,demon
Victor Scott II,MLB,STL,RBIs,MIN,0.5,demon
Victor Scott II,MLB,STL,Hits,MIN,1.5,demon
Trevor Larnach,MLB,MIN,RBIs,STL,0.5,demon
Byron Buxton,MLB,MIN,Total Bases,STL,4.5,demon
Carlos Correa,MLB,MIN,Hits,STL,0.5,goblin
Willi Castro,MLB,MIN,Singles,STL,1.5,demon
Masyn Winn,MLB,STL,Total Bases,MIN,2.5,demon
Brendan Donovan,MLB,STL,Total Bases,MIN,0.5,goblin
Jordan Walker,MLB,STL,RBIs,MIN,0.5,demon
Jose Miranda,MLB,MIN,Total Bases,STL,3.5,demon
Nolan Arenado,MLB,STL,Hits+Runs+RBIs,MIN,0.5,goblin
Jordan Walker,MLB,STL,Walks,MIN,0.5,demon
Carlos Correa,MLB,MIN,Total Bases,STL,2.5,demon
Matt Wallner,MLB,MIN,Total Bases,STL,3.5,demon
Jose Miranda,MLB,MIN,Hits+Runs+RBIs,STL,0.5,goblin
Matt Wallner,MLB,MIN,Doubles,STL,0.5,demon
Nolan Arenado,MLB,STL,Walks,MIN,0.5,demon
Masyn Winn,MLB,STL,Doubles,MIN,0.5,demon
Willson Contreras,MLB,STL,Total Bases,MIN,3.5,demon
Lars Nootbaar,MLB,STL,Total Bases,MIN,0.5,goblin
Willi Castro,MLB,MIN,Total Bases,STL,1.5,demon
Willson Contreras,MLB,STL,RBIs,MIN,1.5,demon
Willson Contreras,MLB,STL,Hits+Runs+RBIs,MIN,0.5,goblin
Willi Castro,MLB,MIN,Total Bases,STL,3.5,demon
Victor Scott II,MLB,STL,Hits+Runs+RBIs,MIN,0.5,goblin
Lars Nootbaar,MLB,STL,Runs,MIN,1.5,demon
Brendan Donovan,MLB,STL,Singles,MIN,1.5,demon
Byron Buxton,MLB,MIN,Total Bases,STL,0.5,goblin
Lars Nootbaar,MLB,STL,Total Bases,MIN,2.5,demon
Byron Buxton,MLB,MIN,RBIs,STL,1.5,demon
Iván Herrera,MLB,STL,Runs,MIN,0.5,demon
Jose Miranda,MLB,MIN,RBIs,STL,0.5,demon
Nolan Arenado,MLB,STL,RBIs,MIN,0.5,demon
Jordan Walker,MLB,STL,Runs,MIN,0.5,demon
Victor Scott II,MLB,STL,Doubles,MIN,0.5,demon
Iván Herrera,MLB,STL,Singles,MIN,1.5,demon
Nolan Arenado,MLB,STL,Total Bases,MIN,1.5,demon
Willi Castro,MLB,MIN,Runs,STL,0.5,demon
Byron Buxton,MLB,MIN,Walks,STL,0.5,demon
Willson Contreras,MLB,STL,Walks,MIN,0.5,demon
Matt Wallner,MLB,MIN,RBIs,STL,1.5,demon
Brendan Donovan,MLB,STL,Hits+Runs+RBIs,MIN,0.5,goblin
Iván Herrera,MLB,STL,Hits,MIN,1.5,demon
Carlos Correa,MLB,MIN,Hits+Runs+RBIs,STL,2.5,demon
Carlos Correa,MLB,MIN,RBIs,STL,1.5,demon
Iván Herrera,MLB,STL,Total Bases,MIN,3.5,demon
Jose Miranda,MLB,MIN,Runs,STL,0.5,demon
Trevor Larnach,MLB,MIN,Walks,STL,0.5,demon
Lars Nootbaar,MLB,STL,Hits+Runs+RBIs,MIN,2.5,demon
Masyn Winn,MLB,STL,Hits,MIN,1.5,demon
Masyn Winn,MLB,STL,Walks,MIN,0.5,demon
Brendan Donovan,MLB,STL,RBIs,MIN,0.5,demon
Alec Burleson,MLB,STL,Total Bases,MIN,2.5,demon
Masyn Winn,MLB,STL,Hits+Runs+RBIs,MIN,0.5,goblin
Lars Nootbaar,MLB,STL,RBIs,MIN,0.5,demon
Byron Buxton,MLB,MIN,Doubles,STL,0.5,demon
Willi Castro,MLB,MIN,Hits+Runs+RBIs,STL,0.5,goblin
Jordan Walker,MLB,STL,Doubles,MIN,0.5,demon
Jose Miranda,MLB,MIN,Total Bases,STL,1.5,demon
Trevor Larnach,MLB,MIN,Hits,STL,1.5,demon
Iván Herrera,MLB,STL,Hits+Runs+RBIs,MIN,0.5,goblin
Alec Burleson,MLB,STL,RBIs,MIN,0.5,demon
Carlos Correa,MLB,MIN,RBIs,STL,0.5,demon
Alec Burleson,MLB,STL,Total Bases,MIN,1.5,demon
Trevor Larnach,MLB,MIN,Hits+Runs+RBIs,STL,2.5,demon
Lars Nootbaar,MLB,STL,Doubles,MIN,0.5,demon
Willi Castro,MLB,MIN,Hits,STL,0.5,goblin
Carlos Correa,MLB,MIN,Hits,STL,1.5,demon
Nolan Arenado,MLB,STL,Doubles,MIN,0.5,demon
Jose Miranda,MLB,MIN,Total Bases,STL,0.5,goblin
Victor Scott II,MLB,STL,Total Bases,MIN,1.5,demon
Nolan Arenado,MLB,STL,Total Bases,MIN,2.5,demon
Nolan Arenado,MLB,STL,Total Bases,MIN,3.5,demon
Jose Miranda,MLB,MIN,Singles,STL,1.5,demon
Victor Scott II,MLB,STL,Total Bases,MIN,2.5,demon
Brendan Donovan,MLB,STL,Hits,MIN,0.5,goblin
Jordan Walker,MLB,STL,Total Bases,MIN,1.5,demon
Victor Scott II,MLB,STL,Singles,MIN,0.5,demon
Lars Nootbaar,MLB,STL,RBIs,MIN,1.5,demon
Alec Burleson,MLB,STL,Total Bases,MIN,0.5,goblin
Masyn Winn,MLB,STL,Runs,MIN,0.5,demon
Willi Castro,MLB,MIN,Hits,STL,1.5,demon
Masyn Winn,MLB,STL,RBIs,MIN,0.5,demon
Willi Castro,MLB,MIN,Total Bases,STL,0.5,goblin
Alec Burleson,MLB,STL,Hits+Runs+RBIs,MIN,0.5,goblin
Willi Castro,MLB,MIN,Doubles,STL,0.5,demon
Victor Scott II,MLB,STL,Total Bases,MIN,3.5,demon
Matt Wallner,MLB,MIN,Hits+Runs+RBIs,STL,2.5,demon
Alec Burleson,MLB,STL,Runs,MIN,0.5,demon
Trevor Larnach,MLB,MIN,Total Bases,STL,0.5,goblin
Alec Burleson,MLB,STL,Total Bases,MIN,3.5,demon
Alec Burleson,MLB,STL,Doubles,MIN,0.5,demon
Lars Nootbaar,MLB,STL,Total Bases,MIN,3.5,demon
Carlos Correa,MLB,MIN,Singles,STL,1.5,demon
Willi Castro,MLB,MIN,RBIs,STL,0.5,demon
Trevor Larnach,MLB,MIN,Hits,STL,0.5,goblin
Brendan Donovan,MLB,STL,Doubles,MIN,0.5,demon
Iván Herrera,MLB,STL,Doubles,MIN,0.5,demon
Carlos Correa,MLB,MIN,Total Bases,STL,0.5,goblin
Jose Miranda,MLB,MIN,Total Bases,STL,2.5,demon
Trevor Larnach,MLB,MIN,RBIs,STL,1.5,demon
Willson Contreras,MLB,STL,RBIs,MIN,0.5,demon
Nolan Arenado,MLB,STL,Singles,MIN,1.5,demon
Alec Burleson,MLB,STL,RBIs,MIN,1.5,demon
Jose Miranda,MLB,MIN,Hits,STL,1.5,demon
Jordan Walker,MLB,STL,Total Bases,MIN,3.5,demon
Matt Wallner,MLB,MIN,Hits,STL,1.5,demon
Trevor Larnach,MLB,MIN,Total Bases,STL,3.5,demon
Iván Herrera,MLB,STL,Total Bases,MIN,2.5,demon
Lars Nootbaar,MLB,STL,Singles,MIN,1.5,demon
Trevor Larnach,MLB,MIN,Total Bases,STL,2.5,demon
Trevor Larnach,MLB,MIN,Doubles,STL,0.5,demon
Jordan Walker,MLB,STL,Total Bases,MIN,2.5,demon
Carlos Correa,MLB,MIN,Doubles,STL,0.5,demon
Willson Contreras,MLB,STL,Total Bases,MIN,2.5,demon
Iván Herrera,MLB,STL,Total Bases,MIN,1.5,demon
Brendan Donovan,MLB,STL,Total Bases,MIN,2.5,demon
Trevor Larnach,MLB,MIN,Singles,STL,1.5,demon
Brendan Donovan,MLB,STL,Runs,MIN,0.5,demon
Byron Buxton,MLB,MIN,Total Bases,STL,2.5,demon
Jose Miranda,MLB,MIN,RBIs,STL,1.5,demon
Carlos Correa,MLB,MIN,Runs,STL,1.5,demon
Jose Miranda,MLB,MIN,Doubles,STL,0.5,demon
Matt Wallner,MLB,MIN,Total Bases,STL,2.5,demon
Jordan Walker,MLB,STL,Hits,MIN,1.5,demon
Alec Burleson,MLB,STL,Singles,MIN,1.5,demon
Erick Fedde,MLB,STL,Walks Allowed,MIN,1.5,standard
Jose Miranda,MLB,MIN,Hits,STL,0.5,goblin
Brendan Donovan,MLB,STL,Hits,MIN,1.5,demon
Alec Burleson,MLB,STL,Hits,MIN,0.5,goblin
Carlos Correa,MLB,MIN,Walks,STL,0.5,demon
Willi Castro,MLB,MIN,Total Bases,STL,2.5,demon
Byron Buxton,MLB,MIN,Hits,STL,0.5,goblin
Matt Wallner,MLB,MIN,Runs,STL,1.5,demon
Matt Wallner,MLB,MIN,RBIs,STL,0.5,demon
Carlos Correa,MLB,MIN,Total Bases,STL,3.5,demon
Alec Burleson,MLB,STL,Hits,MIN,1.5,demon
Brendan Donovan,MLB,STL,Total Bases,MIN,3.5,demon
Matt Wallner,MLB,MIN,Total Bases,STL,1.5,demon
Lars Nootbaar,MLB,STL,Hits,MIN,0.5,goblin
Matt Wallner,MLB,MIN,Singles,STL,0.5,demon
Masyn Winn,MLB,STL,Total Bases,MIN,1.5,demon
Willi Castro,MLB,MIN,Walks,STL,0.5,demon
Iván Herrera,MLB,STL,RBIs,MIN,0.5,demon
Willson Contreras,MLB,STL,Total Bases,MIN,1.5,demon
Nolan Arenado,MLB,STL,Hits,MIN,1.5,demon
Lars Nootbaar,MLB,STL,Total Bases,MIN,1.5,demon
Iván Herrera,MLB,STL,Walks,MIN,0.5,demon
Matt Wallner,MLB,MIN,Total Bases,STL,4.5,demon
Nolan Arenado,MLB,STL,Runs,MIN,0.5,demon
Jordan Westburg,MLB,BAL,Stolen Bases,TOR,0.5,demon
Fernando Tatis Jr.,MLB,SD,Hitter Fantasy Score,ATL,8.5,standard
Joe Ryan,MLB,MIN,Pitcher Strikeouts,STL,5.0,standard
Brenton Doyle,MLB,COL,Stolen Bases,TB,0.5,demon
Luis Arraez,MLB,SD,Hitter Fantasy Score,ATL,6.0,standard
Logan O'Hoppe,MLB,LAA,Home Runs,CWS,0.5,demon
Lars Nootbaar,MLB,STL,Hits+Runs+RBIs,MIN,1.5,standard
Bryan Reynolds,MLB,PIT,Stolen Bases,MIA,0.5,demon
Manny Machado,MLB,SD,Hitter Fantasy Score,ATL,6.0,standard
Luis Rengifo,MLB,LAA,Home Runs,CWS,0.5,demon
Dane Myers,MLB,MIA,Stolen Bases,PIT,0.5,demon
Austin Riley,MLB,ATL,Hitter Fantasy Score,SD,6.0,standard
Luis Robert,MLB,CWS,Home Runs,LAA,0.5,demon
Derek Hill,MLB,MIA,Stolen Bases,PIT,0.5,demon
Matt Olson,MLB,ATL,Hitter Fantasy Score,SD,6.5,standard
Matt Wallner,MLB,MIN,Hits+Runs+RBIs,STL,1.5,standard
Matt Wallner,MLB,MIN,Runs,STL,0.5,standard
Elly De La Cruz,MLB,CIN,Stolen Bases,SF,0.5,demon
Marcell Ozuna,MLB,ATL,Hitter Fantasy Score,SD,6.5,standard
Miguel Vargas,MLB,CWS,Home Runs,LAA,0.5,demon
Heliot Ramos,MLB,SF,Stolen Bases,CIN,0.5,demon
Yordan Alvarez,MLB,HOU,Hitter Fantasy Score,NYM,7.5,standard
Mike Trout,MLB,LAA,Home Runs,CWS,0.5,demon
Isiah Kiner-Falefa,MLB,PIT,Stolen Bases,MIA,0.5,demon
Juan Soto,MLB,NYM,Hitter Fantasy Score,HOU,8.5,standard
Nolan Schanuel,MLB,LAA,Home Runs,CWS,0.5,demon
Jake Fraley,MLB,CIN,Stolen Bases,SF,0.5,demon
Jose Altuve,MLB,HOU,Hitter Fantasy Score,NYM,6.5,standard
Taylor Ward,MLB,LAA,Home Runs,CWS,0.5,demon
Ty France,MLB,MIN,Hits+Runs+RBIs,STL,1.5,standard
Jonny DeLuca,MLB,TB,Stolen Bases,COL,0.5,demon
Francisco Lindor,MLB,NYM,Hitter Fantasy Score,HOU,6.5,standard
Yoán Moncada,MLB,CWS,Home Runs,LAA,0.5,demon
Joe Ryan,MLB,MIN,Pitcher Strikeouts,STL,5.5,demon
Erick Fedde,MLB,STL,Pitcher Strikeouts,MIN,5.5,demon
Erick Fedde,MLB,STL,Pitcher Strikeouts,MIN,3.5,goblin
Erick Fedde,MLB,STL,Earned Runs Allowed,MIN,1.5,goblin
Joe Ryan,MLB,MIN,Earned Runs Allowed,STL,2.5,demon
Joe Ryan,MLB,MIN,Pitcher Strikeouts,STL,6.5,demon
Erick Fedde,MLB,STL,Hits Allowed,MIN,6.5,demon
Erick Fedde,MLB,STL,Hits Allowed,MIN,3.5,goblin
Erick Fedde,MLB,STL,Pitcher Strikeouts,MIN,7.5,demon
Erick Fedde,MLB,STL,Hits Allowed,MIN,5.5,demon
Joe Ryan,MLB,MIN,Hits Allowed,STL,6.5,demon
Joe Ryan,MLB,MIN,Pitcher Strikeouts,STL,3.5,goblin
Joe Ryan,MLB,MIN,Hits Allowed,STL,5.5,demon
Joe Ryan,MLB,MIN,Pitcher Strikeouts,STL,7.5,demon
Joe Ryan,MLB,MIN,Walks Allowed,STL,1.5,demon
Joe Ryan,MLB,MIN,Hits Allowed,STL,3.5,goblin
Erick Fedde,MLB,STL,Pitcher Strikeouts,MIN,6.5,demon
Jordan Beck,MLB,COL,Stolen Bases,TB,0.5,demon
Christian Walker,MLB,HOU,Hitter Fantasy Score,NYM,6.0,standard
Alec Burleson,MLB,STL,Home Runs,MIN,0.5,demon
Trevor Larnach,MLB,MIN,Hits+Runs+RBIs,STL,1.5,standard
Ke'Bryan Hayes,MLB,PIT,Stolen Bases,MIA,0.5,demon
Pete Alonso,MLB,NYM,Hitter Fantasy Score,HOU,6.0,standard
Brendan Donovan,MLB,STL,Home Runs,MIN,0.5,demon
Matt Chapman,MLB,SF,Stolen Bases,CIN,0.5,demon
Kyle Tucker,MLB,CHC,Hitter Fantasy Score,AZ,7.5,standard
Byron Buxton,MLB,MIN,Home Runs,STL,0.5,demon
Matt McLain,MLB,CIN,Stolen Bases,SF,0.5,demon
Ketel Marte,MLB,AZ,Hitter Fantasy Score,CHC,6.5,standard
Carlos Correa,MLB,MIN,Home Runs,STL,0.5,demon
Oneil Cruz,MLB,PIT,Stolen Bases,MIA,0.5,demon
Seiya Suzuki,MLB,CHC,Hitter Fantasy Score,AZ,6.0,standard
Iván Herrera,MLB,STL,Home Runs,MIN,0.5,demon
Otto Lopez,MLB,MIA,Stolen Bases,PIT,0.5,demon
Ian Happ,MLB,CHC,Hitter Fantasy Score,AZ,6.5,standard
Jordan Walker,MLB,STL,Home Runs,MIN,0.5,demon
Spencer Steer,MLB,CIN,Stolen Bases,SF,0.5,demon
Corbin Carroll,MLB,AZ,Hitter Fantasy Score,CHC,6.0,standard
Jose Miranda,MLB,MIN,Home Runs,STL,0.5,demon
TJ Friedl,MLB,CIN,Stolen Bases,SF,0.5,demon
Shohei Ohtani,MLB,LAD,Hitter Fantasy Score,DET,9.0,standard
Lars Nootbaar,MLB,STL,Home Runs,MIN,0.5,demon
Taylor Walls,MLB,TB,Stolen Bases,COL,0.5,demon
Mookie Betts,MLB,LAD,Hitter Fantasy Score,DET,7.5,standard
Matt Wallner,MLB,MIN,Home Runs,STL,0.5,demon
Tommy Pham,MLB,PIT,Stolen Bases,MIA,0.5,demon
Freddie Freeman,MLB,LAD,Hitter Fantasy Score,DET,7.5,standard
Nolan Arenado,MLB,STL,Home Runs,MIN,0.5,demon
Will Wagner,MLB,TOR,RBIs,BAL,0.5,demon
Anthony Santander,MLB,TOR,RBIs,BAL,0.5,demon
George Springer,MLB,TOR,RBIs,BAL,0.5,demon
Ramón Urías,MLB,BAL,Runs,TOR,0.5,demon
Jackson Holliday,MLB,BAL,Runs,TOR,0.5,demon
Cedric Mullins,MLB,BAL,RBIs,TOR,1.5,demon
Anthony Santander,MLB,TOR,RBIs,BAL,1.5,demon
Anthony Santander,MLB,TOR,Runs,BAL,1.5,demon
Bo Bichette,MLB,TOR,Hits+Runs+RBIs,BAL,2.5,demon
Anthony Santander,MLB,TOR,Total Bases,BAL,3.5,demon
Anthony Santander,MLB,TOR,Total Bases,BAL,4.5,demon
Bo Bichette,MLB,TOR,Hits,BAL,2.5,demon
Bo Bichette,MLB,TOR,Runs,BAL,1.5,demon
Bo Bichette,MLB,TOR,Singles,BAL,1.5,demon
Bo Bichette,MLB,TOR,Total Bases,BAL,0.5,goblin
Bo Bichette,MLB,TOR,Total Bases,BAL,2.5,demon
Bo Bichette,MLB,TOR,Walks,BAL,0.5,demon
Ernie Clement,MLB,TOR,Hits,BAL,0.5,goblin
Bo Bichette,MLB,TOR,Doubles,BAL,0.5,demon
Ernie Clement,MLB,TOR,Hits,BAL,1.5,demon
Ernie Clement,MLB,TOR,RBIs,BAL,1.5,demon
Ernie Clement,MLB,TOR,RBIs,BAL,0.5,demon
Ernie Clement,MLB,TOR,Total Bases,BAL,2.5,demon
Anthony Santander,MLB,TOR,Hits,BAL,0.5,goblin
George Springer,MLB,TOR,Hits,BAL,0.5,goblin
Jordan Westburg,MLB,BAL,Total Bases,TOR,0.5,goblin
George Springer,MLB,TOR,Total Bases,BAL,1.5,demon
George Springer,MLB,TOR,Total Bases,BAL,2.5,demon
Vladimir Guerrero Jr.,MLB,TOR,Doubles,BAL,0.5,demon
Vladimir Guerrero Jr.,MLB,TOR,Hits,BAL,0.5,goblin
George Springer,MLB,TOR,Total Bases,BAL,3.5,demon
Andrés Giménez,MLB,TOR,Total Bases,BAL,3.5,demon
Alan Roden,MLB,TOR,Doubles,BAL,0.5,demon
Jordan Westburg,MLB,BAL,Doubles,TOR,0.5,demon
Tyler O'Neill,MLB,BAL,Singles,TOR,0.5,demon
Ryan O'Hearn,MLB,BAL,Singles,TOR,1.5,demon
Jordan Westburg,MLB,BAL,Total Bases,TOR,2.5,demon
Bo Bichette,MLB,TOR,RBIs,BAL,1.5,demon
Andrés Giménez,MLB,TOR,Runs,BAL,0.5,demon
Ramón Urías,MLB,BAL,Hits+Runs+RBIs,TOR,0.5,goblin
Colton Cowser,MLB,BAL,Total Bases,TOR,2.5,demon
Ernie Clement,MLB,TOR,Total Bases,BAL,0.5,goblin
Ryan Mountcastle,MLB,BAL,RBIs,TOR,1.5,demon
Colton Cowser,MLB,BAL,RBIs,TOR,0.5,demon
Ryan O'Hearn,MLB,BAL,Runs,TOR,0.5,demon
Bo Bichette,MLB,TOR,Total Bases,BAL,3.5,demon
Cedric Mullins,MLB,BAL,RBIs,TOR,0.5,demon
Jackson Holliday,MLB,BAL,RBIs,TOR,0.5,demon
Adley Rutschman,MLB,BAL,Doubles,TOR,0.5,demon
Jackson Holliday,MLB,BAL,Total Bases,TOR,1.5,demon
Tyler O'Neill,MLB,BAL,Runs,TOR,1.5,demon
Tyler O'Neill,MLB,BAL,Walks,TOR,0.5,demon
Ramón Urías,MLB,BAL,RBIs,TOR,0.5,demon
Will Wagner,MLB,TOR,Walks,BAL,0.5,demon
Jackson Holliday,MLB,BAL,Total Bases,TOR,3.5,demon
Andrés Giménez,MLB,TOR,Total Bases,BAL,1.5,demon
Ernie Clement,MLB,TOR,Doubles,BAL,0.5,demon
Jordan Westburg,MLB,BAL,Hits,TOR,0.5,goblin
Will Wagner,MLB,TOR,Hits,BAL,1.5,demon
Andrés Giménez,MLB,TOR,Walks,BAL,0.5,demon
Adley Rutschman,MLB,BAL,Walks,TOR,0.5,demon
Jackson Holliday,MLB,BAL,Walks,TOR,0.5,demon
Jordan Westburg,MLB,BAL,Runs,TOR,1.5,demon
Adley Rutschman,MLB,BAL,Runs,TOR,1.5,demon
Alejandro Kirk,MLB,TOR,Hits,BAL,1.5,demon
Colton Cowser,MLB,BAL,Total Bases,TOR,3.5,demon
Will Wagner,MLB,TOR,Total Bases,BAL,3.5,demon
Adley Rutschman,MLB,BAL,Total Bases,TOR,3.5,demon
Anthony Santander,MLB,TOR,Doubles,BAL,0.5,demon
Adley Rutschman,MLB,BAL,Total Bases,TOR,4.5,demon
Ryan O'Hearn,MLB,BAL,Hits,TOR,0.5,goblin
Alan Roden,MLB,TOR,Hits,BAL,1.5,demon
Cedric Mullins,MLB,BAL,Hits+Runs+RBIs,TOR,0.5,goblin
Adley Rutschman,MLB,BAL,Total Bases,TOR,0.5,goblin
Vladimir Guerrero Jr.,MLB,TOR,Hits,BAL,1.5,demon
Adley Rutschman,MLB,BAL,Hits+Runs+RBIs,TOR,2.5,demon
Ramón Urías,MLB,BAL,Total Bases,TOR,3.5,demon
Adley Rutschman,MLB,BAL,Total Bases,TOR,2.5,demon
Ramón Urías,MLB,BAL,Total Bases,TOR,1.5,demon
Jordan Westburg,MLB,BAL,Total Bases,TOR,3.5,demon
Ryan Mountcastle,MLB,BAL,Runs,TOR,0.5,demon
Cedric Mullins,MLB,BAL,Total Bases,TOR,1.5,demon
Anthony Santander,MLB,TOR,Total Bases,BAL,2.5,demon
Ryan Mountcastle,MLB,BAL,RBIs,TOR,0.5,demon
Jackson Holliday,MLB,BAL,Doubles,TOR,0.5,demon
Colton Cowser,MLB,BAL,Total Bases,TOR,0.5,goblin
Bo Bichette,MLB,TOR,RBIs,BAL,0.5,demon
Tyler O'Neill,MLB,BAL,RBIs,TOR,0.5,demon
Ernie Clement,MLB,TOR,Hits+Runs+RBIs,BAL,0.5,goblin
Jordan Westburg,MLB,BAL,Hits+Runs+RBIs,TOR,2.5,demon
Adley Rutschman,MLB,BAL,RBIs,TOR,1.5,demon
Ramón Urías,MLB,BAL,Total Bases,TOR,2.5,demon
Cedric Mullins,MLB,BAL,Runs,TOR,0.5,demon
Alan Roden,MLB,TOR,RBIs,BAL,0.5,demon
Colton Cowser,MLB,BAL,RBIs,TOR,1.5,demon
Jordan Westburg,MLB,BAL,Singles,TOR,1.5,demon
Bo Bichette,MLB,TOR,Hits,BAL,0.5,goblin
George Springer,MLB,TOR,Doubles,BAL,0.5,demon
Dean Kremer,MLB,BAL,Hits Allowed,TOR,4.5,goblin
Dean Kremer,MLB,BAL,Hits Allowed,TOR,6.5,demon
Alan Roden,MLB,TOR,Total Bases,BAL,1.5,demon
Cedric Mullins,MLB,BAL,Total Bases,TOR,3.5,demon
Ryan O'Hearn,MLB,BAL,Hits,TOR,1.5,demon
Jordan Westburg,MLB,BAL,Hits,TOR,1.5,demon
Dean Kremer,MLB,BAL,Pitching Outs,TOR,15.5,standard
Tyler O'Neill,MLB,BAL,Total Bases,TOR,4.5,demon
Tyler O'Neill,MLB,BAL,Total Bases,TOR,3.5,demon
George Springer,MLB,TOR,RBIs,BAL,1.5,demon
Colton Cowser,MLB,BAL,Total Bases,TOR,4.5,demon
Colton Cowser,MLB,BAL,Hits,TOR,0.5,goblin
Adley Rutschman,MLB,BAL,Hits,TOR,1.5,demon
Cedric Mullins,MLB,BAL,Doubles,TOR,0.5,demon
Ernie Clement,MLB,TOR,Total Bases,BAL,3.5,demon
Ryan Mountcastle,MLB,BAL,Hits+Runs+RBIs,TOR,0.5,goblin
Colton Cowser,MLB,BAL,Hits,TOR,1.5,demon
Anthony Santander,MLB,TOR,Singles,BAL,0.5,demon
Adley Rutschman,MLB,BAL,RBIs,TOR,0.5,demon
George Springer,MLB,TOR,Total Bases,BAL,0.5,goblin
Andrés Giménez,MLB,TOR,RBIs,BAL,1.5,demon
Tyler O'Neill,MLB,BAL,Total Bases,TOR,1.5,demon
